Incidents_id,CR_number,Dispatch_date_time,Location_id,,Incident_offense:,,,,
201087096,16033231,,1,,Victims,Offence Code,Incident ID,,
201087097,16033232,,2,,1,2404,201087281,,
201087097,16033232,,3,,1,9105,201087283,,
201087097,16033232,,4,,2,1302,201087285,,
201087100,16033233,,5,,1,2305,201087286,,
201087102,16033238,,6,,1,2605,201087290,,
201087104,16033235,,7,,1,4104,201087291,,
201087108,16033248,,8,,1,9106,201087292,,
201087119,16033252,,9,,1,9021,201087293,,
201087133,16033268,,10,,1,2303,201087294,,
201087133,16033268,,11,,1,4801,201087295,,
201087135,16033263,,12,,1,3562,201087296,,
201087136,16033276,,13,,1,2308,201087297,,
201087139,16033280,,14,,1,1206,201087299,,
201087143,16033265,,15,,1,9108,201087300,,
201087143,16033265,,16,,1,9107,201087307,,
201087148,16033275,,17,,1,2303,201087309,,
201087148,16033275,,18,,1,2902,201087310,,
201087150,16033287,,19,,1,2902,201087311,,
201087152,16033291,,20,,2,1302,201087312,,
201087158,16033309,,21,,1,5404,201087315,,
201087161,16033313,,22,,1,2902,201087316,,
201087163,16033316,,23,,1,9108,201087320,,
201087164,16033267,,24,,1,9106,201087321,,
201087164,16033267,,25,,1,9042,201087322,,
201087165,16033314,,26,,1,4199,201087323,,
201087167,16033290,,27,,1,5309,201087324,,
201087171,16033317,,28,,2,1399,201087325,,
201087174,16033304,,29,,1,9109,201087326,,
201087174,16033304,,30,,1,2305,201087328,,
,,,,,1,2303,201087329,,
police:,,,,Location: ,,,,,
police:,Police District Number,id,,Location ID:,Block Address:,State:,CIty:,Zip:,Police District ID:
police:,5D,1,,1,7400 BLK  LAKEVIEW DR,MD,BETHESDA,20817,BETHESDA
police:,4D,2,,2,1  BLK S SUMMIT AVE,MD,GAITHERSBURG,,MONTGOMERY VILLAGE
police:,4D,3,,3,15600 BLK  HOLLY GROVE RD,MD,SILVER SPRING,20905,WHEATON
police:,4D,4,,4,25700 BLK  WOODFIELD RD,MD,DAMASCUS,20872,GERMANTOWN
police:,5D,5,,5,8700 BLK  KELSO TER,MD,GAITHERSBURG,20877,MONTGOMERY VILLAGE
police:,3D,6,,6,200 BLK N FREDERICK AVE,MD,GAITHERSBURG,20886,MONTGOMERY VILLAGE
police:,1D,7,,7,300 BLK  WAYNE AVE,MD,SILVER SPRING,20910,SILVER SPRING
police:,5D,8,,8,2600 BLK  SQUAW VALLEY CT,MD,SILVER SPRING,20906,WHEATON
police:,1D,9,,9,400 BLK N FREDERICK AVE,MD,GAITHERSBURG,20877,MONTGOMERY VILLAGE
police:,2D,10,,10,18400 BLK  MONTGOMERY VILLAGE AVE,MD,MONTGOMERY VILLAGE,20878,MONTGOMERY VILLAGE
police:,2D,11,,11,1300 BLK E GUDE DR,MD,ROCKVILLE,20852,ROCKVILLE
police:,3D,12,,12,5000 BLK  BRADLEY BLV,MD,CHEVY CHASE,20814,BETHESDA
police:,3D,13,,13,11300 BLK  LOCKWOOD DR,MD,SILVER SPRING,20904,SILVER SPRING
police:,1D,14,,14,9500 BLK  PERSIMMON TREE RD,MD,POTOMAC,20854,BETHESDA
police:,3D,15,,15,11300 BLK  BARITONE CT,MD,SILVER SPRING,20901,SILVER SPRING
police:,3D,16,,16,12100 BLK  ROCKVILLE PIK,MD,ROCKVILLE,20852,ROCKVILLE
police:,3D,17,,17,13800 BLK  OUTLET DR,MD,SILVER SPRING,20904,SILVER SPRING
police:,3D,18,,18,400 BLK  MUDDY BRANCH RD,MD,GAITHERSBURG,20878,MONTGOMERY VILLAGE
police:,6D,19,,19,20500 BLK  WATKINS MEADOW DR,MD,GERMANTOWN,20876,GERMANTOWN
police:,5D,20,,20,2200 BLK  UNIVERSITY BLV W,MD,SILVER SPRING,20902,WHEATON
police:,1D,21,,21,200 BLK  BROOKES AVE,MD,GAITHERSBURG,20877,MONTGOMERY VILLAGE
police:,2D,22,,22,200 BLK  BOOTH ST,MD,GAITHERSBURG,20878,MONTGOMERY VILLAGE
police:,1D,23,,23,400 BLK  QUINCE ORCHARD RD,MD,GAITHERSBURG,20878,MONTGOMERY VILLAGE
police:,5D,24,,24,13000 BLK  CHERRY BEND TER,MD,GERMANTOWN,20874,GERMANTOWN
police:,5D,25,,25,2000 BLK  VEIRS MILL RD,MD,ROCKVILLE,20851,ROCKVILLE
police:,3D,26,,26,6500 BLK  MILLWOOD RD,MD,BETHESDA,20817,BETHESDA
police:,5D,27,,27,19300 BLK  MONTGOMERY VILLAGE AVE,MD,MONTGOMERY VILLAGE,20886,MONTGOMERY VILLAGE
police:,2D,28,,28,1000 BLK  SCHINDLER DR,MD,SILVER SPRING,20903,SILVER SPRING
police:,3D,29,,29,2100 BLK  LUZERNE AVE,MD,SILVER SPRING,,SILVER SPRING
police:,4D,30,,30,700 BLK  RUSSELL AVE,MD,GAITHERSBURG,20877,MONTGOMERY VILLAGE
,,,,,,,,,
Crime Against,,,,NIBRS:,,,,,
crime_against_id,Crime Number 1,,,NIBRS_code,Crime Name2,crime_against_id,,,
1,Crime Against Property,,,240,Motor Vehicle Theft,,,,
2,Other,,,90Z,All Other Offenses,,,,
3,Crime Against Person,,,13A,Aggravated Assault,,,,
4,Crime Against Property,,,23F,Theft From Motor Vehicle,,,,
5,Crime Against Property,,,26B,Credit Card/Automatic Teller Machine Fraud,,,,
6,Crime Against Society,,,90G,Liquor Law Violations,,,,
7,Other,,,90Z,All Other Offenses,,,,
8,Not a Crime,,,90I,Runaway,,,,
9,Crime Against Property,,,23C,Shoplifting,,,,
10,Crime Against Society,,,90Z,All Other Offenses,,,,
11,Crime Against Society,,,35A,Drug/Narcotic Violations,,,,
12,Crime Against Property,,,23D,Theft from Building,,,,
13,Crime Against Property,,,120,Robbery,,,,
14,Other,,,90Z,All Other Offenses,,,,
15,Other,,,90Z,All Other Offenses,,,,
16,Crime Against Property,,,23C,Shoplifting,,,,
17,Crime Against Property,,,290,Destruction/Damage/Vandalism of Property,,,,
18,Crime Against Property,,,290,Destruction/Damage/Vandalism of Property,,,,
19,Crime Against Person,,,13A,Aggravated Assault,,,,
20,Crime Against Society,,,90D,Driving Under the Influence,,,,
21,Crime Against Property,,,290,Destruction/Damage/Vandalism of Property,,,,
22,Other,,,90Z,All Other Offenses,,,,
23,Other,,,90Z,All Other Offenses,,,,
24,Other,,,90Z,All Other Offenses,,,,
25,Crime Against Society,,,90G,Liquor Law Violations,,,,
26,Crime Against Society,,,90Z,All Other Offenses,,,,
27,Crime Against Person,,,13B,Simple Assault,,,,
28,Other,,,90Z,All Other Offenses,,,,
29,Crime Against Property,,,23F,Theft From Motor Vehicle,,,,
30,Crime Against Property,,,23C,Shoplifting,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Offenses: ,,,,,,,,,
offense_code:,crime_name_3,incident_id,,,,,,,
2399,LOST PROPERTY,201087096,,,,,,,
2303,DRIVING UNDER THE INFLUENCE LIQUOR,201087097,,,,,,,
5202,RECOVERED PROPERTY - OTHER,201087097,,,,,,,
5707,SUDDEN DEATH,201087097,,,,,,,
1315,DRUGS - HEROIN - (DESCRIBE OFFENSE),201087100,,,,,,,
3562,ROBBERY - STREET-STRONG-ARM,201087102,,,,,,,
5311,DRIVING UNDER THE INFLUENCE LIQUOR,201087104,,,,,,,
1313,ASSAULT - SIMPLE,201087108,,,,,,,
5707,POLICE INFORMATION,201087119,,,,,,,
9199,DRIVING UNDER THE INFLUENCE LIQUOR,201087133,,,,,,,
2602,DRUGS - MARIJUANA - POSSESS,201087133,,,,,,,
3550,DRUGS - MARIJUANA - POSSESS,201087135,,,,,,,
2903,DRUGS - HEROIN - (DESCRIBE OFFENSE),201087136,,,,,,,
3512,ASSAULT - AGGRAVATED - FAMILY-OTHER WEAPON,201087139,,,,,,,
3582,OBSTRUCT POLICE - RESISTING OFFICER,201087143,,,,,,,
3562,DRUGS - MARIJUANA - POSSESS,201087143,,,,,,,
3615,ASSAULT - 2ND DEGREE,201087148,,,,,,,
5311,RECOVERED PROPERTY - MONT CO.,201087148,,,,,,,
2589,DRIVING UNDER THE INFLUENCE LIQUOR,201087150,,,,,,,
4199,LIQUOR (DESCRIBE OFFENSE),201087152,,,,,,,
2903,DRIVING UNDER THE INFLUENCE LIQUOR,201087158,,,,,,,
2601,ASSAULT - AGGRAVATED - FAMILY-OTHER WEAPON,201087161,,,,,,,
2999,LOST PROPERTY,201087163,,,,,,,
1210,LARCENY - FROM AUTO,201087164,,,,,,,
3699,POLICE INFORMATION,201087164,,,,,,,
1399,LARCENY - FROM AUTO,201087165,,,,,,,
1399,JUVENILE - RUNAWAY,201087167,,,,,,,
9106,FORGERY - PASS FORGED,201087171,,,,,,,
3615,AUTO THEFT - VEHICLE THEFT,201087174,,,,,,,
9199,MENTAL ILLNESS,201087174,,,,,,,